,func_name,line,ncalls,ccalls,tottime,cumtime,func,callers
221,__call__,72,68,0,0.00041474800000000005,5.042e-05,"<code object __call__ at 0x10ad38d50, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/heuristics.py"", line 72>","[_lsprof.profiler_subentry(code=<code object hEval at 0x10aae7e10, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/heuristics.py"", line 117>, callcount=33, reccallcount=8, totaltime=0.00017712200000000002, inlinetime=3.0247e-05), _lsprof.profiler_subentry(code=<code object hEval at 0x10acde890, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/heuristics.py"", line 97>, callcount=34, reccallcount=0, totaltime=1.0999000000000001e-05, inlinetime=1.0999000000000001e-05)]"
187,termCollectVars,210,64,32,0.00014074900000000002,5.3330000000000006e-05,"<code object termCollectVars at 0x10ad188d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 210>","[_lsprof.profiler_subentry(code=<code object termArgs at 0x10ad30c30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 97>, callcount=44, reccallcount=0, totaltime=3.7625e-05, inlinetime=1.675e-05), _lsprof.profiler_subentry(code=<code object termCollectVars at 0x10ad188d0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 210>, callcount=32, reccallcount=0, totaltime=6.237e-05, inlinetime=2.0367e-05), _lsprof.profiler_subentry(code=""<method 'add' of 'set' objects>"", callcount=20, reccallcount=0, totaltime=2.5499e-05, inlinetime=2.5499e-05), _lsprof.profiler_subentry(code=<code object termIsVar at 0x10ad30a30, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 73>, callcount=64, reccallcount=0, totaltime=2.4295e-05, inlinetime=2.4295e-05)]"
220,__call__,86,62,0,0.000439587,7.312800000000001e-05,"<code object __call__ at 0x10ad388a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 86>","[_lsprof.profiler_subentry(code=<code object apply at 0x10aaa7480, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 117>, callcount=62, reccallcount=0, totaltime=0.000366459, inlinetime=9.6366e-05)]"
197,instantiate,280,62,0,0.000587913,6.0161e-05,"<code object instantiate at 0x10ad28390, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 280>","[_lsprof.profiler_subentry(code=<code object __call__ at 0x10ad388a0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 86>, callcount=62, reccallcount=0, totaltime=0.000439587, inlinetime=7.312800000000001e-05), _lsprof.profiler_subentry(code=<code object __init__ at 0x10a687480, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 133>, callcount=62, reccallcount=0, totaltime=8.816500000000001e-05, inlinetime=3.5491e-05)]"
141,__init__,60,57,0,7.3003e-05,3.8502000000000005e-05,"<code object __init__ at 0x10aa67bb0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 60>","[_lsprof.profiler_subentry(code=<code object setName at 0x10aa13890, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 71>, callcount=57, reccallcount=0, totaltime=3.4501e-05, inlinetime=3.4501e-05)]"
190,__init__,69,57,0,0.000531663,8.657e-05,"<code object __init__ at 0x10ad1c630, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/clauses.py"", line 69>","[_lsprof.profiler_subentry(code=<code object __init__ at 0x10aa67bb0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 60>, callcount=57, reccallcount=0, totaltime=7.3003e-05, inlinetime=3.8502000000000005e-05), _lsprof.profiler_subentry(code=<code object isPropFalse at 0x10ad212f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 223>, callcount=84, reccallcount=0, totaltime=0.00037209, inlinetime=7.821e-05)]"
133,setName,71,57,0,3.4501e-05,3.4501e-05,"<code object setName at 0x10aa13890, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 71>",
204,weight,298,52,0,0.000179543,2.3417000000000003e-05,"<code object weight at 0x10ad30530, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 298>","[_lsprof.profiler_subentry(code=<code object termWeight at 0x10ad14b70, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 255>, callcount=51, reccallcount=10, totaltime=0.000116291, inlinetime=4.5084000000000004e-05)]"
169,value,101,50,0,1.5626000000000003e-05,1.5626000000000003e-05,"<code object value at 0x10acde780, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/substitutions.py"", line 101>",
214,atomIsConstTrue,113,47,0,0.00015670400000000002,2.0289000000000002e-05,"<code object atomIsConstTrue at 0x10ad38300, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/literals.py"", line 113>","[_lsprof.profiler_subentry(code=<code object termEqual at 0x10ad21930, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 173>, callcount=47, reccallcount=0, totaltime=0.000136415, inlinetime=4.4073e-05)]"
173,setDerivation,81,45,0,8.919e-06,8.919e-06,"<code object setDerivation at 0x10ace1610, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/derivations.py"", line 81>",
222,__init__,9,44,0,8.545e-06,8.545e-06,"<code object __init__ at 0x10ad3a790, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 9>",
272,parseTerm,132,44,22,0.002430418,0.00010329800000000001,"<code object parseTerm at 0x1560c9cf0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 132>","[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=24, reccallcount=0, totaltime=5.3330000000000004e-06, inlinetime=5.3330000000000004e-06), _lsprof.profiler_subentry(code=<code object AcceptTok at 0x10aa67880, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 247>, callcount=44, reccallcount=0, totaltime=0.000381875, inlinetime=2.8843e-05), _lsprof.profiler_subentry(code=<code object TestTok at 0x10aa139f0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 222>, callcount=68, reccallcount=0, totaltime=0.001501998, inlinetime=0.00012100400000000001), _lsprof.profiler_subentry(code=<code object parseTermList at 0x1560c4c50, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 120>, callcount=22, reccallcount=0, totaltime=0.0009678760000000001, inlinetime=2.4168000000000003e-05), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=22, reccallcount=0, totaltime=6.750000000000001e-06, inlinetime=6.750000000000001e-06), _lsprof.profiler_subentry(code=<code object Next at 0x10ab20200, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 288>, callcount=44, reccallcount=0, totaltime=5.2208000000000006e-05, inlinetime=1.8164e-05), _lsprof.profiler_subentry(code=<code object CheckTok at 0x10aa46cc0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/lexer.py"", line 236>, callcount=24, reccallcount=0, totaltime=7.029e-05, inlinetime=8.628000000000001e-06)]"
211,,79,44,0,5.2940000000000005e-06,5.2940000000000005e-06,"<code object <lambda> at 0x10ad32230, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 79>",
223,__init__,19,42,0,4.75e-06,4.75e-06,"<code object __init__ at 0x10ad3a880, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/alternatingpath.py"", line 19>",
228,occursCheck,136,41,0,3.5958000000000004e-05,1.787e-05,"<code object occursCheck at 0x10ad88290, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/unification.py"", line 136>","[_lsprof.profiler_subentry(code=<code object termIsCompound at 0x10ad384e0, file ""/Users/jannisgehring/VSCode/coursework-pyres/PyRes/terms.py"", line 81>, callcount=41, reccallcount=0, totaltime=1.8088e-05, inlinetime=9.618e-06)]"
